ID,VOLA_AFTER,VOLA_PRIOR,VIX,SIZE,BTM,SUE,INDUSTRY
800.txt,2.485797419,2.316088306,11.46,314.2656,0.231595253,2.2111400000000003,12
801.txt,8.062624812000001,1.312259218,17.15,1415.30384,0.33962001700000005,2.00966,8
802.txt,2.3997227619999997,3.2721617530000002,16.78,23069.74895,0.437438015,2.42066,3
803.txt,0.798078596,5.533459677000001,14.34,14088.49839,0.455409192,0.4714,9
804.txt,5.544645915,1.5897560830000002,12.95,205.79618,1.063201034,1.98101,11
805.txt,1.410452825,3.455987794,10.18,1323.2520000000002,0.381935666,2.98793,12
806.txt,5.545845462999999,1.607821075,16.82,6186.2964,0.900795315,1.60128,3
807.txt,6.200673628,1.490221239,16.96,8360.22913,0.49824271200000003,1.42057,6
808.txt,5.2341447169999995,2.088403037,10.59,28.243170000000003,0.604186591,3.99076,10
809.txt,2.23174129,1.4714813130000002,17.08,273.28512,0.245558794,0.21198000000000003,5
810.txt,3.1514626889999997,1.703009024,15.59,1105.26736,0.738731857,0.1118,6
811.txt,3.2211365869999997,1.749264343,20.72,6656.4921,0.581384795,0.82375,3
812.txt,1.090933926,1.54300816,19.32,2425.42989,0.327047706,0.9705799999999999,12
813.txt,0.6521885820000001,1.285388021,15.31,225.00400000000002,0.014457709,1.99958,9
814.txt,5.2624677680000005,1.4488402619999998,33.35,85.2773,0.15699634699999998,1.41421,10
815.txt,5.506829517999999,3.905689115,33.04,1545.3214,0.19703740600000003,0.5773,11
816.txt,0.961726034,3.027537259,17.47,602.0322,0.25555844,3.68295,10
817.txt,3.549393525,2.462184459,20.26,65325.12832,4.719146737,0.33760999999999997,11
818.txt,3.4738150219999997,2.270163148,19.78,4048.49313,0.8122120740000001,3.31565,9
819.txt,3.7770574519999998,2.058608731,10.44,6146.18865,0.204075512,0.01712,4
820.txt,1.6233363509999998,2.897265591,18.31,48.84,0.431735655,1.4433799999999999,12
821.txt,4.5120386230000005,2.070645091,18.71,810.32877,0.47367874,130.65259,1
822.txt,3.6581292139999997,3.567213235,18.99,587.112,0.80793233,0.24151999999999998,11
823.txt,0.23012530899999997,11.29899369,15.6,1208.35314,0.6938906440000001,1.5889799999999998,10
824.txt,1.967778016,1.630929597,10.76,174202.6589,0.48829780700000003,0.20701,12
825.txt,4.8301905210000005,2.296759278,9.93,1554.7335,0.073149962,1.8797400000000002,12
826.txt,4.101956891,5.323353539,12.83,1349.28864,0.581474046,2.59808,6
827.txt,1.104604445,1.927626675,16.55,1837.297,0.655270239,1.24701,10
828.txt,2.241564244,2.11409863,13.69,517.5846,1.322371149,4.76731,6
829.txt,1.108269228,3.091429278,25.2,1695.70212,0.8652806540000001,1.3794899999999999,6
830.txt,4.504923792,1.981335224,29.86,367.5419204,0.42944918,0.48941,9
831.txt,2.01242598,1.43156882,25.4,1271.4510599999999,0.310749151,2.23401,12
832.txt,0.6172517670000001,10.7396345,23.14,30206.84722,0.063794783,4.381959999999999,8
833.txt,2.383384531,1.491770143,11.68,6238.7519999999995,1.2713849179999999,0.12585,6
834.txt,1.298395558,2.145992821,24.44,1875.31812,1.152767998,0.5212899999999999,12
835.txt,1.193814151,2.0204761319999998,20.28,287.0349,1.145547597,0.37793000000000004,9
836.txt,1.625861604,0.970804575,9.93,368.0714,0.379735273,2.79199,6
837.txt,2.556524541,1.432685705,23.49,162.51033,0.24216243399999998,0.66667,6
838.txt,2.389384439,3.1742910589999997,10.99,738.96638,0.902158912,0.37793000000000004,4
839.txt,2.758515384,1.6169669469999999,19.77,10175.632109999999,0.9685774009999999,0.10894000000000001,12
840.txt,3.891867547,2.210663515,32.74,213975.0686,1.245006055,1.8438700000000001,11
841.txt,5.128999169,3.055137267,17.04,1270.8509199999999,1.57771158,0.66054,9
842.txt,4.869497307,1.090680959,12.95,3789.5530200000003,0.392613815,6.44259,9
843.txt,0.287254403,1.858604896,17.29,285.53877,0.130446684,1.4142299999999999,11
844.txt,3.0004933339999997,1.020480595,31.13,2839.4496,0.06408302099999999,6.0,12
845.txt,1.752287294,1.7655301680000002,13.75,720.9982,0.555385462,5.29787,6
846.txt,5.92156172,1.637473631,21.08,250.111,0.33820933799999997,0.25,4
847.txt,3.174592952,1.906782716,12.5,2518.7039999999997,0.54894034,1.42672,7
848.txt,0.48078484,3.0179353019999997,32.63,5763.08728,0.517075661,1.11504,9
849.txt,3.8339094989999998,1.673456205,16.82,748.91955,0.585223941,1.52803,6
850.txt,3.432449531,2.144916572,13.21,3798.6408,0.836242192,2.85197,10
851.txt,0.612592495,1.5864167269999998,21.44,563.8464,0.623521815,0.16855,4
852.txt,4.051454732,1.946908326,24.1,8734.15142,0.40474442,1.39135,11
853.txt,5.7982493470000005,1.2389896809999998,15.62,3964.196,1.6967940940000001,0.8164899999999999,12
854.txt,1.4612330409999998,1.779919337,11.97,202.1409,1.047122726,0.4191,11
855.txt,5.429334631000001,5.1217599069999995,42.25,68358.12399,3.704794882,2.45696,11
856.txt,4.117400026,7.019318486,31.32,3085.28,0.355798696,0.32026,10
857.txt,1.122007916,1.3200307059999998,56.1,1194.318,1.115898525,3.47851,9
858.txt,3.353634944,1.6994807319999998,20.23,788.10498,1.294704438,1.7937900000000002,4
859.txt,4.63466958,5.463006346,14.44,416.33549,0.622234254,0.91261,10
860.txt,0.69082381,2.061187992,12.25,615.136,0.82800596,9.76782,9
861.txt,1.5977368180000002,1.507859436,14.56,439.33365,1.32037422,0.70711,1
862.txt,6.1624127060000005,1.70330161,12.85,1760.53368,0.838217161,0.70711,11
863.txt,4.9020863530000005,4.8745449139999995,10.76,713.3189,0.989127245,3.53557,3
864.txt,1.5631559080000001,1.353307546,14.42,1318.54125,0.302609082,0.68617,11
865.txt,2.008090706,3.905721818,13.04,92.2845,1.0985888659999998,2.15152,6
866.txt,1.749890386,8.232340604,14.04,669.4934,0.59287155,0.81511,9
867.txt,2.183098881,2.622160995,18.21,366.09125,1.157280103,0.80345,11
868.txt,4.670342814,2.31668767,26.65,711.0741,0.377757434,3.24896,5
869.txt,0.96895695,6.173177855,19.76,1834.27335,0.28463716,2.65748,10
870.txt,1.017664323,1.791698543,18.96,358.40749,0.728423642,0.58387,8
871.txt,1.596392651,1.684399819,10.09,43094.09083,0.32494535,1.21741,3
872.txt,1.12513766,1.7729389740000001,25.4,739.1225599999999,0.326168695,4.69495,4
873.txt,0.6847371740000001,2.686066251,19.32,241.54446000000002,0.185593276,0.9028700000000001,9
874.txt,5.0205078830000005,1.288053613,69.96,31584.9886,0.264348748,7.07114,8
875.txt,0.601331877,1.3538420709999999,9.14,172.33986000000002,0.7359697740000001,2.13616,8
876.txt,27.98434292,3.117872498,24.15,15000.97704,0.229092535,2.12134,12
877.txt,1.236916718,3.6981395960000003,20.8,4198.534729999999,0.273674049,2.28126,6
878.txt,2.3490756790000002,2.80113414,13.39,233.01622000000003,0.0014232539999999999,1.98236,12
879.txt,11.94313901,3.5535026760000004,12.83,1236.3387300000002,0.36386008,0.95614,11
880.txt,1.962131162,0.8062949890000001,15.77,1470.30611,2.043548232,1.45769,2
881.txt,5.482613141,2.370437825,19.94,7835.6727,1.198003797,0.22221999999999997,10
882.txt,1.626745845,1.290758681,18.64,335.13075,0.146111561,2.40285,6
883.txt,5.956717102000001,1.6293360069999998,25.88,403.53249,0.374438359,6.565180000000001,9
884.txt,1.906593789,0.635336511,32.74,4327.58746,0.54684291,2.5819799999999997,6
885.txt,2.6339526269999998,5.5712029460000005,20.98,2770.92232,0.553701961,0.26061999999999996,11
886.txt,1.9487960469999999,0.942287196,17.34,799.61703,0.891429404,0.9339799999999999,12
887.txt,4.731790456000001,1.4837055719999999,16.23,44.968209,0.516293889,34.648559999999996,9
888.txt,11.13775501,2.51706763,19.17,563.2575,0.254483483,1.5230299999999999,3
889.txt,2.1038802690000002,1.4599501540000002,10.21,6943.5465,0.191558919,0.19285,12
890.txt,1.3646253309999998,4.880775247,10.23,818.62528,0.162988129,0.04869,10
891.txt,3.726210678,5.82715171,13.45,247.155,0.538739455,1.59172,10
892.txt,1.916029969,2.280379757,15.6,1436.911,0.423975558,1.22785,2
893.txt,0.8515038640000001,1.281184945,16.87,1104.44634,1.48919065,7.07107,12
894.txt,3.457673715,1.67628715,20.7,5931.3384,0.456296407,0.7669699999999999,1
895.txt,1.2934024709999998,4.079028506,14.77,14091.18489,0.298891815,1.34162,1
